127.0.0.1 - - [23/Mar/2021:12:39:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Mar/2021:12:40:04 +0900] "GET /project/WEB-INF/views/hodu/main/mainpage.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Mar/2021:12:40:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2021:12:40:15 +0900] "GET /project/hodu/main/mainpage HTTP/1.1" 200 18459
0:0:0:0:0:0:0:1 - - [23/Mar/2021:12:40:15 +0900] "GET /project/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Mar/2021:12:40:15 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Mar/2021:12:40:15 +0900] "GET /project/resources/assets_main/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:12:40:15 +0900] "GET /project/resources/assets_main/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:12:40:15 +0900] "GET /project/upload/Thumbnail/9203f740-25d6-4f5d-8cff-1846ef9a4151%EB%B7%B0%ED%8B%B0%EC%8D%B81.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:12:40:15 +0900] "GET /project/upload/Thumbnail/0c7de54e-441e-43b2-b349-754dd620f2a9%EB%B0%98%EB%A0%A4%EA%B2%AC%EC%8D%B81.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:12:40:15 +0900] "GET /project/upload/Thumbnail/e7d79a1e-2f20-4500-93e1-7fc89848123841f44fb6-ee89-4aa3-a163-ae3264e8ab23.jpg HTTP/1.1" 404 920
0:0:0:0:0:0:0:1 - - [23/Mar/2021:12:40:15 +0900] "GET /project/upload/Thumbnail/bfc90c83-5c74-4716-9af8-cc9140d68814%ED%97%AC%EC%8A%A4%EC%8D%B81.jpg HTTP/1.1" 304 -
