0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/lib/slick/slick-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/lib/slick/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/js/main2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/images/move1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/lib/slick/slick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/images/move2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/images/hodu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/images/move3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/images/move4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/upload/Thumbnail/9203f740-25d6-4f5d-8cff-1846ef9a4151%EB%B7%B0%ED%8B%B0%EC%8D%B81.jpg HTTP/1.1" 200 35137
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/upload/Thumbnail/340c4e4f-ba81-4fe9-accd-13ee9e151cb37.jfif HTTP/1.1" 200 216890
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/upload/Thumbnail/540aba52-2dd4-43d5-b57a-a9f724b4f1d728.jpg HTTP/1.1" 200 88035
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/resources/assets_main/images/move5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/upload/Thumbnail/940a94f6-8903-4bb1-9740-873e21830d5a%EC%98%81%EC%96%B4%ED%9A%8C%ED%99%94.JPG HTTP/1.1" 200 98897
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/upload/Thumbnail/381e9d2d-f871-40da-b106-3e66c65bb097%EC%9D%BC%EB%B3%B8%EC%96%B4%EC%8D%B8.jpg HTTP/1.1" 200 76146
0:0:0:0:0:0:0:1 - - [22/Mar/2021:18:37:29 +0900] "GET /project/upload/Thumbnail/cf731306-cb72-4da8-b204-88e7eba72e0e%EC%A4%91%EA%B5%AD%EC%96%B4.jpg HTTP/1.1" 200 56815
